designation,jd_utc,ra_deg,dec_deg,magnitude,band,obs_code,year,source,raw_line
0003I,2461001.687303,187.65324166666667,-2.0766,12.5,c,C23,2025,mpc_real,0003I         C2025 11 22.18730312 30 36.778-02 04 35.76         12.5 cZ#0KaaC23
0003I,2461001.68784,187.65279166666664,-2.076305555555556,12.8,G,134,2025,mpc_real,0003I         C2025 11 22.18784 12 30 36.67 -02 04 34.7          12.8 GV#0Kaa134
0003I,2461001.68868,187.65216666666666,-2.0761111111111115,12.8,G,134,2025,mpc_real,0003I         C2025 11 22.18868 12 30 36.52 -02 04 34.0          12.8 GV#0Kaa134
0003I,2461001.689172,187.6518,-2.076061111111111,12.7,j,K74,2025,mpc_real,0003I        KB2025 11 22.18917212 30 36.432-02 04 33.82         12.7 jZ#0KaaK74
0003I,2461001.68953,187.65145833333335,-2.0760555555555555,12.8,G,134,2025,mpc_real,0003I         C2025 11 22.18953 12 30 36.35 -02 04 33.8          12.8 GV#0Kaa134
0003I,2461001.69038,187.65070833333334,-2.0758333333333336,12.8,G,134,2025,mpc_real,0003I         C2025 11 22.19038 12 30 36.17 -02 04 33.0          12.8 GV#0Kaa134
0003I,2461001.69123,187.65008333333333,-2.075555555555556,12.8,G,134,2025,mpc_real,0003I         C2025 11 22.19123 12 30 36.02 -02 04 32.0          12.8 GV#0Kab134
0003I,2461001.691975,187.64970833333334,-2.075388888888889,12.7,j,K74,2025,mpc_real,0003I        KB2025 11 22.19197512 30 35.930-02 04 31.40         12.7 jZ#0KabK74
0003I,2461001.692002,187.64969166666668,-2.075380555555556,12.6,c,C23,2025,mpc_real,0003I         C2025 11 22.19200212 30 35.926-02 04 31.37         12.6 cZ#0KabC23
0003I,2461001.69208,187.64958333333334,-2.0753611111111114,12.8,G,134,2025,mpc_real,0003I         C2025 11 22.19208 12 30 35.90 -02 04 31.3          12.8 GV#0Kab134
0003I,2461001.69293,187.64883333333333,-2.0750833333333336,12.8,G,134,2025,mpc_real,0003I         C2025 11 22.19293 12 30 35.72 -02 04 30.3          12.8 GV#0Kab134
0003I,2461001.69425,187.64795833333332,-2.074805555555556,12.8,G,134,2025,mpc_real,0003I         C2025 11 22.19425 12 30 35.51 -02 04 29.3          12.8 GV#0Kab134
0003I,2461001.694777,187.64759166666667,-2.0746305555555558,12.7,j,K74,2025,mpc_real,0003I        KB2025 11 22.19477712 30 35.422-02 04 28.67         12.7 jZ#0KabK74
0003I,2461001.695764,187.64685833333334,-2.0743500000000004,12.5,c,C23,2025,mpc_real,0003I         C2025 11 22.19576412 30 35.246-02 04 27.66         12.5 cZ#0KabC23
0003I,2461001.69579,187.64670833333335,-2.0742222222222226,12.8,G,134,2025,mpc_real,0003I         C2025 11 22.19579 12 30 35.21 -02 04 27.2          12.8 GV#0Kab134
0003I,2461001.69731,187.64554166666665,-2.0738333333333334,12.8,G,134,2025,mpc_real,0003I         C2025 11 22.19731 12 30 34.93 -02 04 25.8          12.8 GV#0Kab134
0003I,2461001.697579,187.6455,-2.073919444444445,12.6,j,K74,2025,mpc_real,0003I        KB2025 11 22.19757912 30 34.920-02 04 26.11         12.6 jZ#0KabK74
0003I,2461001.69885,187.644375,-2.0734444444444446,12.8,G,134,2025,mpc_real,0003I         C2025 11 22.19885 12 30 34.65 -02 04 24.4          12.8 GV#0Kab134
0003I,2461001.70038,187.64325000000002,-2.0731388888888893,12.8,G,134,2025,mpc_real,0003I         C2025 11 22.20038 12 30 34.38 -02 04 23.3          12.8 GV#0Kab134
0003I,2461001.700382,187.64337083333334,-2.073188888888889,12.7,j,K74,2025,mpc_real,0003I        KB2025 11 22.20038212 30 34.409-02 04 23.48         12.7 jZ#0KabK74
0003I,2461001.701118,187.64305833333333,-2.072852777777778,11.9,G,R59,2025,mpc_real,0003I        0C2025 11 22.20111812 30 34.334-02 04 22.27         11.9 GX#0KabR59
0003I,2461001.70192,187.64204166666667,-2.0727222222222226,12.8,G,134,2025,mpc_real,0003I         C2025 11 22.20192 12 30 34.09 -02 04 21.8          12.8 GV#0Kab134
0003I,2461001.703185,187.64122916666668,-2.0724500000000003,12.6,j,K74,2025,mpc_real,0003I        KB2025 11 22.20318512 30 33.895-02 04 20.82         12.6 jZ#0KabK74
0003I,2461001.70345,187.641,-2.0723888888888893,12.8,G,134,2025,mpc_real,0003I         C2025 11 22.20345 12 30 33.84 -02 04 20.6          12.8 GV#0Kab134
0003I,2461001.70499,187.63975,-2.0718333333333336,12.8,G,134,2025,mpc_real,0003I         C2025 11 22.20499 12 30 33.54 -02 04 18.6          12.8 GV#0Kab134
0003I,2461001.705988,187.63914166666666,-2.0717194444444447,12.6,j,K74,2025,mpc_real,0003I        KB2025 11 22.20598812 30 33.394-02 04 18.19         12.6 jZ#0KabK74
0003I,2461001.706119,187.63930416666665,-2.071502777777778,11.9,G,R59,2025,mpc_real,0003I        0C2025 11 22.20611912 30 33.433-02 04 17.41         11.9 GX#0KabR59
0003I,2461001.70652,187.63870833333334,-2.0714722222222224,12.8,G,134,2025,mpc_real,0003I         C2025 11 22.20652 12 30 33.29 -02 04 17.3          12.8 GV#0Kab134
0003I,2461001.70806,187.63754166666666,-2.071111111111111,12.8,G,134,2025,mpc_real,0003I         C2025 11 22.20806 12 30 33.01 -02 04 16.0          12.8 GV#0Kab134
0003I,2461001.708391,187.63752083333333,-2.070930555555556,11.1,G,R51,2025,mpc_real,0003I        0B2025 11 22.20839112 30 33.005-02 04 15.35         11.1 GV#0KabR51
0003I,2461001.708791,187.63702916666668,-2.070988888888889,12.7,j,K74,2025,mpc_real,0003I        KB2025 11 22.20879112 30 32.887-02 04 15.56         12.7 jZ#0KabK74
0003I,2461001.709931,187.63612916666665,-2.0707000000000004,12.0,V,R92,2025,mpc_real,0003I        0B2025 11 22.20993112 30 32.671-02 04 14.52         12.0 VZ#0KabR92
0003I,2461001.710935,187.635625,-2.0702472222222226,11.9,G,R59,2025,mpc_real,0003I        0C2025 11 22.21093512 30 32.550-02 04 12.89         11.9 GX#0KabR59
0003I,2461001.711243,187.63515833333332,-2.0703694444444447,12.6,j,K74,2025,mpc_real,0003I        KB2025 11 22.21124312 30 32.438-02 04 13.33         12.6 jZ#0KabK74
0003I,2461001.713346,187.63354999999999,-2.069788888888889,12.6,j,K74,2025,mpc_real,0003I        KB2025 11 22.21334612 30 32.052-02 04 11.24         12.6 jZ#0KabK74
0003I,2461001.71411,187.633125,-2.0696111111111115,12.6,r,C10,2025,mpc_real,0003I        KC2025 11 22.21411 12 30 31.95 -02 04 10.6          12.6 rZ#0KabC10
0003I,2461001.71925,187.62925,-2.0682500000000004,12.4,r,C10,2025,mpc_real,0003I        KC2025 11 22.21925 12 30 31.02 -02 04 05.7          12.4 rZ#0KabC10
0003I,2461001.719838,187.62917083333335,-2.0679694444444445,12.2,G,Z10,2025,mpc_real,0003I         B2025 11 22.21983812 30 31.001-02 04 04.69         12.2 GW#0KabZ10
0003I,2461001.720451,187.62834166666667,-2.0678500000000004,13.4,G,J01,2025,mpc_real,0003I         B2025 11 22.22045112 30 30.802-02 04 04.26         13.4 GW#0KabJ01
0003I,2461001.723623,187.62579166666666,-2.067130555555556,11.9,V,R92,2025,mpc_real,0003I        0B2025 11 22.22362312 30 30.190-02 04 01.67         11.9 VZ#0KabR92
0003I,2461001.7244,187.62533333333332,-2.066888888888889,12.2,r,C10,2025,mpc_real,0003I        KC2025 11 22.22440 12 30 30.08 -02 04 00.8          12.2 rZ#0KabC10
0003I,2461001.727569,187.62326666666667,-2.0660166666666666,12.3,G,Z10,2025,mpc_real,0003I         B2025 11 22.22756912 30 29.584-02 03 57.66         12.3 GW#0KabZ10
0003I,2461001.72954,187.62145833333332,-2.0655555555555556,12.5,r,C10,2025,mpc_real,0003I        KC2025 11 22.22954 12 30 29.15 -02 03 56.0          12.5 rZ#0KabC10
0003I,2461001.733137,187.61864166666666,-2.064461111111111,13.5,G,J01,2025,mpc_real,0003I         B2025 11 22.23313712 30 28.474-02 03 52.06         13.5 GW#0KabJ01
0003I,2461001.73469,187.61754166666665,-2.06425,12.9,r,C10,2025,mpc_real,0003I        KC2025 11 22.23469 12 30 28.21 -02 03 51.3          12.9 rZ#0KabC10
0003I,2461001.73559,187.61724166666667,-2.0638916666666667,12.3,G,Z10,2025,mpc_real,0003I         B2025 11 22.23559012 30 28.138-02 03 50.01         12.3 GW#0KabZ10
0003I,2461001.736007,187.61659166666666,-2.063711111111111,11.0,G,R51,2025,mpc_real,0003I        0B2025 11 22.23600712 30 27.982-02 03 49.36         11.0 GV#0KabR51
0003I,2461001.73691,187.61575,-2.063638888888889,, ,K85,2025,mpc_real,0003I         B2025 11 22.23691 12 30 27.78 -02 03 49.1                X#0KabK85
0003I,2461001.737292,187.61537083333332,-2.0635388888888886,11.9,V,R92,2025,mpc_real,0003I        0B2025 11 22.23729212 30 27.689-02 03 48.74         11.9 VZ#0KabR92
0003I,2461001.745856,187.60934166666667,-2.0611805555555556,13.5,G,J01,2025,mpc_real,0003I         B2025 11 22.24585612 30 26.242-02 03 40.25         13.5 GW#0KabJ01
0003I,2461002.008669,187.41120833333332,-1.9921,13.2,r,V38,2025,mpc_real,0003I        4C2025 11 22.50866912 29 38.690-01 59 31.56         13.2 rZ#0KabV38
0003I,2461002.01044,187.40997916666663,-1.9916694444444445,13.2,r,V38,2025,mpc_real,0003I        4C2025 11 22.51044012 29 38.395-01 59 30.01         13.2 rZ#0KabV38
0003I,2461002.012199,187.40854166666665,-1.9911611111111112,13.3,r,V38,2025,mpc_real,0003I        4C2025 11 22.51219912 29 38.050-01 59 28.18         13.3 rZ#0KabV38
0003I,2461002.016852,187.40514166666665,-1.989861111111111,11.4,G,V16,2025,mpc_real,0003I         C2025 11 22.51685212 29 37.234-01 59 23.50         11.4 GW#0KabV16
0003I,2461002.020891,187.4021,-1.9888000000000001,11.4,G,V16,2025,mpc_real,0003I         C2025 11 22.52089112 29 36.504-01 59 19.68         11.4 GW#0KabV16
0003I,2461002.025289,187.39869166666665,-1.9876,11.4,G,V16,2025,mpc_real,0003I         C2025 11 22.52528912 29 35.686-01 59 15.36         11.4 GW#0KabV16
0003I,2461002.029687,187.39535833333332,-1.9864000000000002,11.4,G,V16,2025,mpc_real,0003I         C2025 11 22.52968712 29 34.886-01 59 11.04         11.4 GW#0KabV16
0003I,2461002.03995,187.3874583333333,-1.9839444444444445,12.6,G,U94,2025,mpc_real,0003I        3B2025 11 22.53995 12 29 32.99 -01 59 02.2          12.6 GX#0KabU94
0003I,2461002.0448,187.38370833333332,-1.9826666666666668,12.8,G,U94,2025,mpc_real,0003I        3B2025 11 22.54480 12 29 32.09 -01 58 57.6          12.8 GX#0KabU94
0003I,2461002.04966,187.38004166666667,-1.981388888888889,13.0,G,U94,2025,mpc_real,0003I        3B2025 11 22.54966 12 29 31.21 -01 58 53.0          13.0 GX#0KabU94
0003I,2461002.05371,187.37699999999998,-1.9802777777777778,, ,U94,2025,mpc_real,0003I        3B2025 11 22.55371 12 29 30.48 -01 58 49.0                X#0KabU94
0003I,2461002.311852,187.18129166666668,-1.9121194444444443,13.4,V,Q14,2025,mpc_real,0003I        0C2025 11 22.81185212 28 43.510-01 54 43.63         13.4 Vq#0KabQ14
0003I,2461002.325417,187.17097916666668,-1.90865,13.4,V,Q14,2025,mpc_real,0003I        0C2025 11 22.82541712 28 41.035-01 54 31.14         13.4 Vq#0KabQ14
0003I,2461002.34702,187.15462499999998,-1.9028611111111111,, ,367,2025,mpc_real,0003I        KC2025 11 22.84702 12 28 37.11 -01 54 10.3                u#0Kab367
0003I,2461002.34965,187.152625,-1.9021666666666666,, ,367,2025,mpc_real,0003I        KC2025 11 22.84965 12 28 36.63 -01 54 07.8                u#0Kab367
0003I,2461002.35127,187.151375,-1.901722222222222,10.0,T,367,2025,mpc_real,0003I        KC2025 11 22.85127 12 28 36.33 -01 54 06.2          10.0 Tu#0Kab367
0003I,2461002.62562,186.94204166666665,-1.8291944444444443,11.6,N,152,2025,mpc_real,0003I         C2025 11 23.12562 12 27 46.09 -01 49 45.1          11.6 NV#0Kab152
0003I,2461002.63208,186.93720833333333,-1.8275,11.6,N,152,2025,mpc_real,0003I         C2025 11 23.13208 12 27 44.93 -01 49 39.0          11.6 NV#0Kab152
0003I,2461002.63814,186.9325,-1.8259444444444444,11.6,N,152,2025,mpc_real,0003I         C2025 11 23.13814 12 27 43.80 -01 49 33.4          11.6 NV#0Kab152
0003I,2461002.673785,186.90502916666665,-1.8163805555555557,18.5,G,D47,2025,mpc_real,0003I        eB2025 11 23.17378512 27 37.207-01 48 58.97         18.5 GW#0KabD47
0003I,2461002.679086,186.90139166666665,-1.8147694444444444,19.0,G,D47,2025,mpc_real,0003I        eB2025 11 23.17908612 27 36.334-01 48 53.17         19.0 GW#0KabD47
0003I,2461002.684375,186.89674166666666,-1.813488888888889,18.6,G,D47,2025,mpc_real,0003I        eB2025 11 23.18437512 27 35.218-01 48 48.56         18.6 GW#0KabD47
0003I,2461002.690579,186.89269166666665,-1.81165,20.4,G,D47,2025,mpc_real,0003I        eB2025 11 23.19057912 27 34.246-01 48 41.94         20.4 GW#0KabD47
0003I,2461002.702826,186.88299583333333,-1.8083277777777778,11.9,G,R59,2025,mpc_real,0003I        0C2025 11 23.20282612 27 31.919-01 48 29.98         11.9 GX#0KabR59
0003I,2461002.707833,186.87914166666664,-1.8069777777777778,11.8,G,R59,2025,mpc_real,0003I        0C2025 11 23.20783312 27 30.994-01 48 25.12         11.8 GX#0KabR59
0003I,2461002.712657,186.87539583333333,-1.8056833333333333,11.8,G,R59,2025,mpc_real,0003I        0C2025 11 23.21265712 27 30.095-01 48 20.46         11.8 GX#0KabR59
0003I,2461002.71879,186.87058333333331,-1.804138888888889,12.6,r,L27,2025,mpc_real,0003I        KC2025 11 23.21879 12 27 28.94 -01 48 14.9          12.6 rZ#0KabL27
0003I,2461002.72155,186.86845833333334,-1.8034166666666667,12.6,r,L27,2025,mpc_real,0003I        KC2025 11 23.22155 12 27 28.43 -01 48 12.3          12.6 rZ#0KabL27
0003I,2461002.7243,186.8663333333333,-1.8026666666666666,12.6,r,L27,2025,mpc_real,0003I        KC2025 11 23.22430 12 27 27.92 -01 48 09.6          12.6 rZ#0KabL27
0003I,2461002.72706,186.86420833333332,-1.8019444444444446,12.6,r,L27,2025,mpc_real,0003I        KC2025 11 23.22706 12 27 27.41 -01 48 07.0          12.6 rZ#0KabL27
0003I,2461002.72961,186.86225,-1.80125,12.6,r,L27,2025,mpc_real,0003I        KC2025 11 23.22961 12 27 26.94 -01 48 04.5          12.6 rZ#0KabL27
0003I,2461002.73198,186.86041666666665,-1.8006111111111112,12.6,r,L27,2025,mpc_real,0003I        KC2025 11 23.23198 12 27 26.50 -01 48 02.2          12.6 rZ#0KabL27
0003I,2461003.289988,186.43102083333332,-1.65055,11.4,G,Q21,2025,mpc_real,0003I        eC2025 11 23.78998812 25 43.445-01 39 01.98         11.4 GW#0KabQ21
0003I,2461003.295231,186.42690833333333,-1.6490694444444445,13.0,G,Q21,2025,mpc_real,0003I        eC2025 11 23.79523112 25 42.458-01 38 56.65         13.0 GW#0KabQ21
0003I,2461003.299722,186.42334166666666,-1.6479,12.9,G,Q21,2025,mpc_real,0003I        eC2025 11 23.79972212 25 41.602-01 38 52.44         12.9 GW#0KabQ21
0003I,2461003.57998,186.2055,-1.5717222222222222,11.0,G,D04,2025,mpc_real,0003I        KC2025 11 24.07998 12 24 49.32 -01 34 18.2          11.0 GX#0KabD04
0003I,2461003.5874,186.200125,-1.5685277777777777,13.7,G,194,2025,mpc_real,0003I        KB2025 11 24.08740 12 24 48.03 -01 34 06.7          13.7 GX#0Kab194
0003I,2461003.59263,186.19520833333334,-1.5683888888888888,11.0,G,D04,2025,mpc_real,0003I        KC2025 11 24.09263 12 24 46.85 -01 34 06.2          11.0 GX#0KabD04
0003I,2461003.59567,186.19320833333336,-1.56775,12.9,G,C40,2025,mpc_real,0003I        1C2025 11 24.09567 12 24 46.37 -01 34 03.9          12.9 GX#0KabC40
0003I,2461003.59826,186.19183333333334,-1.565611111111111,13.3,G,194,2025,mpc_real,0003I        KB2025 11 24.09826 12 24 46.04 -01 33 56.2          13.3 GX#0Kab194
0003I,2461003.60017,186.18979166666668,-1.566638888888889,12.9,G,C40,2025,mpc_real,0003I        1C2025 11 24.10017 12 24 45.55 -01 33 59.9          12.9 GX#0KabC40
0003I,2461003.60426,186.1869166666667,-1.5639444444444446,13.4,G,194,2025,mpc_real,0003I        KB2025 11 24.10426 12 24 44.86 -01 33 50.2          13.4 GX#0Kab194
0003I,2461003.60466,186.18616666666668,-1.5654444444444444,12.8,G,C40,2025,mpc_real,0003I        1C2025 11 24.10466 12 24 44.68 -01 33 55.6          12.8 GX#0KabC40
0003I,2461003.60493,186.18533333333332,-1.566,11.0,G,D04,2025,mpc_real,0003I        KC2025 11 24.10493 12 24 44.48 -01 33 57.6          11.0 GX#0KabD04
0003I,2461003.664965,186.13932916666667,-1.5487805555555554,12.6,R,C23,2025,mpc_real,0003I         C2025 11 24.16496512 24 33.439-01 32 55.61         12.6 RZ#0KabC23
0003I,2461003.669861,186.13549166666667,-1.5475888888888887,12.6,R,C23,2025,mpc_real,0003I         C2025 11 24.16986112 24 32.518-01 32 51.32         12.6 RZ#0KabC23
0003I,2461003.674769,186.13162083333333,-1.5461999999999998,12.6,R,C23,2025,mpc_real,0003I         C2025 11 24.17476912 24 31.589-01 32 46.32         12.6 RZ#0KabC23
0003I,2461003.931123,185.93114166666666,-1.4759111111111112,12.9,G,W62,2025,mpc_real,0003I        KC2025 11 24.43112312 23 43.474-01 28 33.28         12.9 GX#0KabW62
0003I,2461003.938137,185.9256208333333,-1.4740111111111112,12.9,G,W62,2025,mpc_real,0003I        KC2025 11 24.43813712 23 42.149-01 28 26.44         12.9 GX#0KabW62
0003I,2461003.945139,185.92007916666665,-1.4720694444444447,13.0,G,W62,2025,mpc_real,0003I        KC2025 11 24.44513912 23 40.819-01 28 19.45         13.0 GX#0KabW62
0003I,2461004.013597,185.86655000000002,-1.4532388888888887,14.16,G,V39,2025,mpc_real,0003I        3C2025 11 24.51359712 23 27.972-01 27 11.66         14.16GW#0KabV39
0003I,2461004.015348,185.86517916666665,-1.4527194444444445,14.11,G,V39,2025,mpc_real,0003I        3C2025 11 24.51534812 23 27.643-01 27 09.79         14.11GW#0KabV39
0003I,2461004.017097,185.86382916666665,-1.4522305555555555,14.17,G,V39,2025,mpc_real,0003I        3C2025 11 24.51709712 23 27.319-01 27 08.03         14.17GW#0KabV39
0003I,2461004.020588,185.86107083333334,-1.4512888888888889,14.12,G,V39,2025,mpc_real,0003I        3C2025 11 24.52058812 23 26.657-01 27 04.64         14.12GW#0KabV39
0003I,2461004.049233,185.83872499999998,-1.4436194444444446,11.8,R,U94,2025,mpc_real,0003I        5C2025 11 24.54923312 23 21.294-01 26 37.03         11.8 RV#0KabU94
0003I,2461004.05137,185.83681666666666,-1.4430722222222223,, ,U94,2025,mpc_real,0003I        5C2025 11 24.55137012 23 20.836-01 26 35.06               V#0KabU94
0003I,2461004.052235,185.83622499999998,-1.4426777777777777,, ,U94,2025,mpc_real,0003I        5C2025 11 24.55223512 23 20.694-01 26 33.64               V#0KabU94
0003I,2461004.691667,185.33055833333333,-1.2658111111111112,13.3,G,I81,2025,mpc_real,0003I        KC2025 11 25.19166712 21 19.334-01 15 56.92         13.3 GW#0KabI81
0003I,2461004.694491,185.32827916666668,-1.26495,13.3,G,I81,2025,mpc_real,0003I        KC2025 11 25.19449112 21 18.787-01 15 53.82         13.3 GW#0KabI81
0003I,2461004.697326,185.32609166666668,-1.264261111111111,13.4,G,I81,2025,mpc_real,0003I        KC2025 11 25.19732612 21 18.262-01 15 51.34         13.4 GW#0KabI81
0003I,2461004.71239,185.314125,-1.2599722222222223,12.1,R,A77,2025,mpc_real,0003I        KB2025 11 25.21239 12 21 15.39 -01 15 35.9          12.1 R #0KabA77
0003I,2461004.71859,185.30916666666667,-1.2581111111111112,12.1,R,A77,2025,mpc_real,0003I        KB2025 11 25.21859 12 21 14.20 -01 15 29.2          12.1 R #0KabA77
0003I,2461004.72464,185.30425,-1.2563055555555556,12.1,R,A77,2025,mpc_real,0003I        KB2025 11 25.22464 12 21 13.02 -01 15 22.7          12.1 R #0KacA77
0003I,2461004.997112,185.08719583333334,-1.1799111111111111,14.22,G,V37,2025,mpc_real,0003I        5C2025 11 25.49711212 20 20.927-01 10 47.68         14.22GW#0KacV37
0003I,2461004.998856,185.08587500000002,-1.179452777777778,14.23,G,V37,2025,mpc_real,0003I        5C2025 11 25.49885612 20 20.610-01 10 46.03         14.23GW#0KacV37
0003I,2461005.000605,185.08442083333335,-1.1789833333333335,14.25,G,V37,2025,mpc_real,0003I        5C2025 11 25.50060512 20 20.261-01 10 44.34         14.25GW#0KacV37
0003I,2461005.002356,185.08301250000002,-1.1784416666666668,14.3,G,V37,2025,mpc_real,0003I        5C2025 11 25.50235612 20 19.923-01 10 42.39         14.30GW#0KacV37
0003I,2461005.002674,185.08315416666667,-1.1787805555555557,10.84,G,703,2025,mpc_real,0003I        1C2025 11 25.50267412 20 19.957-01 10 43.61         10.84GV#0Kac703
0003I,2461005.004113,185.08158333333336,-1.1780055555555555,14.35,G,V37,2025,mpc_real,0003I        5C2025 11 25.50411312 20 19.580-01 10 40.82         14.35GW#0KacV37
0003I,2461005.004911,185.08127916666666,-1.178088888888889,11.08,G,703,2025,mpc_real,0003I        1C2025 11 25.50491112 20 19.507-01 10 41.12         11.08GV#0Kac703
0003I,2461005.00542,185.08050000000003,-1.1774444444444445,, ,U94,2025,mpc_real,0003I        3C2025 11 25.50542 12 20 19.32 -01 10 38.8                X#0KacU94
0003I,2461005.00715,185.07946666666666,-1.1774694444444445,10.9,G,703,2025,mpc_real,0003I        1C2025 11 25.50715012 20 19.072-01 10 38.89         10.90GV#0Kac703
0003I,2461005.009387,185.07769583333334,-1.1768500000000002,10.94,G,703,2025,mpc_real,0003I        1C2025 11 25.50938712 20 18.647-01 10 36.66         10.94GV#0Kac703
0003I,2461005.011412,185.07614166666667,-1.1757694444444444,12.4,G,V16,2025,mpc_real,0003I         C2025 11 25.51141212 20 18.274-01 10 32.77         12.4 GW#0KacV16
0003I,2461005.01337,185.074125,-1.175361111111111,11.9,G,U94,2025,mpc_real,0003I        3C2025 11 25.51337 12 20 17.79 -01 10 31.3          11.9 GX#0KacU94
0003I,2461005.014005,185.07364166666667,-1.175088888888889,12.3,G,V16,2025,mpc_real,0003I         C2025 11 25.51400512 20 17.674-01 10 30.32         12.3 GW#0KacV16
0003I,2461005.016979,185.07125,-1.1742305555555557,12.3,G,V16,2025,mpc_real,0003I         C2025 11 25.51697912 20 17.100-01 10 27.23         12.3 GW#0KacV16
0003I,2461005.019965,185.06887083333334,-1.173388888888889,12.3,G,V16,2025,mpc_real,0003I         C2025 11 25.51996512 20 16.529-01 10 24.20         12.3 GW#0KacV16
0003I,2461005.0213,185.06779166666666,-1.1731666666666667,12.5,G,U94,2025,mpc_real,0003I        3C2025 11 25.52130 12 20 16.27 -01 10 23.4          12.5 GX#0KacU94
0003I,2461005.02925,185.06137500000003,-1.1709166666666668,, ,U94,2025,mpc_real,0003I        3C2025 11 25.52925 12 20 14.73 -01 10 15.3                X#0KacU94
0003I,2461005.31843,184.829375,-1.0894166666666667,, ,D88,2025,mpc_real,0003I        KB2025 11 25.81843 12 19 19.05 -01 05 21.9                q#0KacD88
0003I,2461005.32124,184.827125,-1.0887222222222221,, ,D88,2025,mpc_real,0003I        KB2025 11 25.82124 12 19 18.51 -01 05 19.4                q#0KacD88
0003I,2461005.32405,184.82475,-1.0877222222222223,10.1,T,D88,2025,mpc_real,0003I        KB2025 11 25.82405 12 19 17.94 -01 05 15.8          10.1 Tq#0KacD88
0003I,2461005.47049,184.70695833333332,-1.046388888888889,11.6,G,186,2025,mpc_real,0003I        5C2025 11 25.97049012 18 49.670-01 02 47.00         11.6 GW#0Kac186
0003I,2461005.4712,184.70645833333333,-1.046188888888889,11.6,G,186,2025,mpc_real,0003I        5C2025 11 25.97120012 18 49.550-01 02 46.28         11.6 GW#0Kac186
0003I,2461005.47192,184.70579166666667,-1.0459694444444445,11.6,G,186,2025,mpc_real,0003I        5C2025 11 25.97192012 18 49.390-01 02 45.49         11.6 GW#0Kac186
0003I,2461005.47264,184.70542083333333,-1.0458111111111112,11.6,G,186,2025,mpc_real,0003I        5C2025 11 25.97264012 18 49.301-01 02 44.92         11.6 GW#0Kac186
0003I,2461005.47336,184.70467083333335,-1.0455805555555557,11.6,G,186,2025,mpc_real,0003I        5C2025 11 25.97336012 18 49.121-01 02 44.09         11.6 GW#0Kac186
0003I,2461005.47407,184.70407916666667,-1.0453611111111112,11.6,G,186,2025,mpc_real,0003I        5C2025 11 25.97407012 18 48.979-01 02 43.30         11.6 GW#0Kac186
0003I,2461005.47479,184.70345833333334,-1.045138888888889,11.7,G,186,2025,mpc_real,0003I        5C2025 11 25.97479012 18 48.830-01 02 42.50         11.7 GW#0Kac186
0003I,2461005.47551,184.70295833333333,-1.044938888888889,11.6,G,186,2025,mpc_real,0003I        5C2025 11 25.97551012 18 48.710-01 02 41.78         11.6 GW#0Kac186
0003I,2461005.47623,184.7022916666667,-1.04475,11.6,G,186,2025,mpc_real,0003I        5C2025 11 25.97623012 18 48.550-01 02 41.10         11.6 GW#0Kac186
0003I,2461005.47694,184.70175000000003,-1.0445611111111113,11.6,G,186,2025,mpc_real,0003I        5C2025 11 25.97694012 18 48.420-01 02 40.42         11.6 GW#0Kac186
0003I,2461005.678831,184.53839166666666,-0.9872,11.3,G,R51,2025,mpc_real,0003I        0B2025 11 26.17883112 18 09.214-00 59 13.92         11.3 GV#0KacR51
0003I,2461005.683576,184.5346416666667,-0.9857111111111111,12.7,r,213,2025,mpc_real,0003I        KC2025 11 26.18357612 18 08.314-00 59 08.56         12.7 rZ#0Kac213
0003I,2461005.68768,184.53108333333336,-0.9846666666666666,12.3,R,A77,2025,mpc_real,0003I        KB2025 11 26.18768 12 18 07.46 -00 59 04.8          12.3 R #0KacA77
0003I,2461005.69196,184.52762500000003,-0.9834999999999999,12.2,R,A77,2025,mpc_real,0003I        KB2025 11 26.19196 12 18 06.63 -00 59 00.6          12.2 R #0KacA77
0003I,2461005.69619,184.5241666666667,-0.9822777777777778,12.3,R,A77,2025,mpc_real,0003I        KB2025 11 26.19619 12 18 05.80 -00 58 56.2          12.3 R #0KacA77
0003I,2461005.701169,184.52015416666666,-0.9807333333333333,12.1,G,R59,2025,mpc_real,0003I        0C2025 11 26.20116912 18 04.837-00 58 50.64         12.1 GX#0KacR59
0003I,2461005.706162,184.51605833333335,-0.9793027777777777,12.1,G,R59,2025,mpc_real,0003I        0C2025 11 26.20616212 18 03.854-00 58 45.49         12.1 GX#0KacR59
0003I,2461005.707847,184.51467083333333,-0.97885,11.2,G,R51,2025,mpc_real,0003I        0B2025 11 26.20784712 18 03.521-00 58 43.86         11.2 GV#0KacR51
0003I,2461005.708125,184.51452083333334,-0.9787194444444445,12.6,r,213,2025,mpc_real,0003I        KC2025 11 26.20812512 18 03.485-00 58 43.39         12.6 rZ#0Kac213
0003I,2461005.710969,184.5121375,-0.9779333333333333,12.1,G,R59,2025,mpc_real,0003I        0C2025 11 26.21096912 18 02.913-00 58 40.56         12.1 GX#0KacR59
0003I,2461005.71829,184.50604166666668,-0.9758888888888889,12.8,r,L27,2025,mpc_real,0003I        KC2025 11 26.21829 12 18 01.45 -00 58 33.2          12.8 rZ#0KacL27
0003I,2461005.72065,184.50412500000002,-0.9752222222222222,12.9,r,L27,2025,mpc_real,0003I        KC2025 11 26.22065 12 18 00.99 -00 58 30.8          12.9 rZ#0KacL27
