designation,jd_utc,ra_deg,dec_deg,magnitude,band,obs_code,year,source,raw_line
0003I,2460875.39975,261.6195791666667,-18.252269444444444,16.6,G,B50,2025,mpc_real,0003I        KB2025 07 18.89975 17 26 28.699-18 15 08.17         16.6 GV#0JmIB50
0003I,2460875.40228,261.6178791666667,-18.251980555555555,15.0,G,K87,2025,mpc_real,0003I        KB2025 07 18.90228 17 26 28.291-18 15 07.13         15.0 GX#0JmIK87
0003I,2460875.40426,261.6165,-18.25195,17.7,V,M38,2025,mpc_real,0003I        KC2025 07 18.90426 17 26 27.960-18 15 07.02         17.7 VZ#0JmIM38
0003I,2460875.40495,261.6161416666667,-18.25216111111111,17.1,G,B50,2025,mpc_real,0003I         B2025 07 18.90495 17 26 27.874-18 15 07.78         17.1 GV#0JmIB50
0003I,2460875.40556,261.61594166666663,-18.25205,15.2,G,K87,2025,mpc_real,0003I        KB2025 07 18.90556 17 26 27.826-18 15 07.38         15.2 GX#0JmIK87
0003I,2460875.41271,261.6111666666667,-18.250888888888888,17.0,N,J01,2025,mpc_real,0003I        KC2025 07 18.91271 17 26 26.68 -18 15 03.2          17.0 NV#0JmIJ01
0003I,2460875.414918,261.6097,-18.251497222222223,16.8,R,B72,2025,mpc_real,0003I        KB2025 07 18.91491817 26 26.328-18 15 05.39         16.8 RZ#0JmIB72
0003I,2460875.41506,261.60977916666667,-18.25151111111111,15.6,G,K87,2025,mpc_real,0003I        KB2025 07 18.91506 17 26 26.347-18 15 05.44         15.6 GX#0JmIK87
0003I,2460875.41632,261.60858333333334,-18.2515,17.3,G,K83,2025,mpc_real,0003I        KB2025 07 18.91632 17 26 26.06 -18 15 05.4          17.3 G #0JmIK83
0003I,2460875.41747,261.6077416666667,-18.25161111111111,17.2,G,B50,2025,mpc_real,0003I         B2025 07 18.91747 17 26 25.858-18 15 05.80         17.2 GV#0JmIB50
0003I,2460875.42308,261.60485833333337,-18.250988888888887,16.6,G,B50,2025,mpc_real,0003I         B2025 07 18.92308 17 26 25.166-18 15 03.56         16.6 GV#0JmIB50
0003I,2460875.4241,261.604,-18.251083333333334,17.4,N,J01,2025,mpc_real,0003I        KC2025 07 18.92410 17 26 24.96 -18 15 03.9          17.4 NV#0JmIJ01
0003I,2460875.42544,261.6030416666667,-18.251,17.0,G,K83,2025,mpc_real,0003I        KB2025 07 18.92544 17 26 24.73 -18 15 03.6          17.0 G #0JmIK83
0003I,2460875.4295,261.60042916666663,-18.25095,, ,D63,2025,mpc_real,0003I        KC2025 07 18.92950 17 26 24.103-18 15 03.42               Z#0JmID63
0003I,2460875.430829,261.5994083333333,-18.250888888888888,17.0,R,B72,2025,mpc_real,0003I        KB2025 07 18.93082917 26 23.858-18 15 03.20         17.0 RZ#0JmIB72
0003I,2460875.43269,261.59810833333336,-18.250619444444446,17.1,G,B67,2025,mpc_real,0003I        KC2025 07 18.93269 17 26 23.546-18 15 02.23         17.1 GX#0JmIB67
0003I,2460875.43455,261.59697083333333,-18.25066111111111,16.8,G,B67,2025,mpc_real,0003I        KC2025 07 18.93455 17 26 23.273-18 15 02.38         16.8 GX#0JmIB67
0003I,2460875.43642,261.59589166666666,-18.250680555555554,16.5,G,B67,2025,mpc_real,0003I        KC2025 07 18.93642 17 26 23.014-18 15 02.45         16.5 GX#0JmIB67
0003I,2460875.46991,261.57497083333334,-18.248680555555556,17.1,G,X76,2025,mpc_real,0003I        KB2025 07 18.96991 17 26 17.993-18 14 55.25         17.1 GX#0JmIX76
0003I,2460875.4803,261.56802916666663,-18.248169444444446,16.6,G,X76,2025,mpc_real,0003I        KB2025 07 18.98030 17 26 16.327-18 14 53.41         16.6 GX#0JmIX76
0003I,2460875.483938,261.5662291666667,-18.247758333333334,17.93,G,W86,2025,mpc_real,0003I        2C2025 07 18.98393817 26 15.895-18 14 51.93         17.93GW#0JmIW86
0003I,2460875.487472,261.56391666666667,-18.247611111111112,17.9,G,W86,2025,mpc_real,0003I        2C2025 07 18.98747217 26 15.340-18 14 51.40         17.90GW#0JmIW86
0003I,2460875.489555,261.56267083333336,-18.247566666666668,18.6,G,309,2025,mpc_real,0003I        &C2025 07 18.98955517 26 15.041-18 14 51.24         18.6 GW#0JmI309
0003I,2460875.49069,261.56132083333335,-18.24778888888889,17.4,G,X76,2025,mpc_real,0003I        KB2025 07 18.99069 17 26 14.717-18 14 52.04         17.4 GX#0JmIX76
0003I,2460875.490849,261.561875,-18.247505555555556,18.7,G,309,2025,mpc_real,0003I        &C2025 07 18.99084917 26 14.850-18 14 51.02         18.7 GW#0JmI309
0003I,2460875.491002,261.5616708333333,-18.247472222222225,18.03,G,W86,2025,mpc_real,0003I        2C2025 07 18.99100217 26 14.801-18 14 50.90         18.03GW#0JmIW86
0003I,2460875.494539,261.5593958333334,-18.247311111111113,17.9,G,W86,2025,mpc_real,0003I        2C2025 07 18.99453917 26 14.255-18 14 50.32         17.90GW#0JmIW86
