JDTDB,Calendar_Date,X,Y,Z,VX,VY,VZ
2460925.0,A.D. 2025-Sep-06 12:00:00.0000,-124973232.4125762,762450905.8283278,-365529.0573387146,-13.04669421876255,-1.492942342897465,0.2981199600554572
2460925.25,A.D. 2025-Sep-06 18:00:00.0000,-125255026.342162,762418610.8355242,-359089.4150893092,-13.04541162634257,-1.497260669156836,0.2981447306086942
2460925.5,A.D. 2025-Sep-07 00:00:00.0000,-125536798.3113349,762386225.5915154,-352649.2155724764,-13.04468529931191,-1.501384825387396,0.2981681209752639
2460925.75,A.D. 2025-Sep-07 06:00:00.0000,-125818560.282343,762353748.7623614,-346208.6866739392,-13.04443759082304,-1.505812539613337,0.2981733340359452
2460926.0,A.D. 2025-Sep-07 12:00:00.0000,-126100318.4301265,762321170.3518366,-339768.2855758071,-13.04424568602654,-1.510799695449023,0.298157172902998
2460926.25,A.D. 2025-Sep-07 18:00:00.0000,-126382068.650265,762288479.2958065,-333328.3618963361,-13.04364194673005,-1.516180769572051,0.2981322308790195
2460926.5,A.D. 2025-Sep-08 00:00:00.0000,-126663799.5253164,762255671.9501398,-326888.8942043185,-13.0424662590096,-1.521479467609467,0.2981179587447331
2460926.75,A.D. 2025-Sep-08 06:00:00.0000,-126945501.0649399,762222755.1009045,-320449.503919661,-13.04100323886238,-1.526276456024078,0.2981255690102687
2460927.0,A.D. 2025-Sep-08 12:00:00.0000,-127227172.4731249,762189740.7134831,-314009.7515025139,-13.03975674322061,-1.530545688756591,0.2981491519456264
2460927.25,A.D. 2025-Sep-08 18:00:00.0000,-127508822.5612118,762156636.6467633,-307569.4740898013,-13.0390515574053,-1.534663217651987,0.2981709272267166
2460927.5,A.D. 2025-Sep-09 00:00:00.0000,-127790462.8644386,762123440.7938049,-301128.8990164399,-13.03880103159377,-1.539114983500703,0.2981749104784464
2460927.75,A.D. 2025-Sep-09 06:00:00.0000,-128072098.9223154,762090142.5703087,-294688.46974051,-13.03857027596082,-1.544149736283021,0.298158390383219
2460928.0,A.D. 2025-Sep-09 12:00:00.0000,-128353725.6614611,762056730.526932,-288248.5113365054,-13.03787289451169,-1.549588603557677,0.2981345426276119
2460928.25,A.D. 2025-Sep-09 18:00:00.0000,-128635330.2544568,762023201.111133,-281808.9601018429,-13.03652949410325,-1.554921900318759,0.2981239324105918
