JDTDB,Calendar_Date,X,Y,Z,VX,VY,VZ
2460996.5,A.D. 2025-Nov-17 00:00:00.0000,-507584.5501332582,-827522.6574166259,20616.60775012965,0.01263388175399178,-0.0004594965386348479,-0.0002378940095210969
2460996.75,A.D. 2025-Nov-17 06:00:00.0000,-507311.6682863763,-827532.5332881501,20611.46940320742,0.01263295535869214,-0.0004549357409393279,-0.0002378787722255182
2460997.0,A.D. 2025-Nov-17 12:00:00.0000,-507038.8064866099,-827542.3106291052,20606.33139073395,0.01263202551234361,-0.0004503733422199054,-0.0002378630398859734
2460997.25,A.D. 2025-Nov-17 18:00:00.0000,-506765.9648102729,-827551.989405226,20601.19372353953,0.012631092050711,-0.0004458093732462827,-0.000237846799906684
2460997.5,A.D. 2025-Nov-18 00:00:00.0000,-506493.1433372388,-827561.569583006,20596.05641271931,0.01263015480855085,-0.0004412438735338203,-0.0002378300403255709
2460997.75,A.D. 2025-Nov-18 06:00:00.0000,-506220.3421509567,-827571.0511298882,20590.91946961987,0.012629213620107,-0.0004366768915523858,-0.0002378127498767602
2460998.0,A.D. 2025-Nov-18 12:00:00.0000,-505947.5613384569,-827580.4340144611,20585.78290582279,0.01262826831963171,-0.0004321084849002989,-0.000237794918052556
2460998.25,A.D. 2025-Nov-18 18:00:00.0000,-505674.800990345,-827589.7182066573,20580.64673312783,0.0126273187419294,-0.000427538720440559,-0.0002377765351644307
2460998.5,A.D. 2025-Nov-19 00:00:00.0000,-505402.0612007834,-827598.9036779545,20575.51096353499,0.01262636472292066,-0.0004229676743969291,-0.0002377575924025748
2460998.75,A.D. 2025-Nov-19 06:00:00.0000,-505129.3420674619,-827607.9904015781,20570.37560922408,0.01262540610022325,-0.0004183954324078191,-0.0002377380818935604
2460999.0,A.D. 2025-Nov-19 12:00:00.0000,-504856.6436915537,-827616.978352706,20565.24068253476,0.01262444271374671,-0.0004138220895362813,-0.0002377179967556715
2460999.25,A.D. 2025-Nov-19 18:00:00.0000,-504583.9661776599,-827625.8675086696,20560.10619594384,0.01262347440629715,-0.0004092477502347993,-0.0002376973311514656
2460999.5,A.D. 2025-Nov-20 00:00:00.0000,-504311.3096337402,-827634.6578491586,20554.97216204274,0.01262250102418841,-0.0004046725282639026,-0.000237676080337146
2460999.75,A.D. 2025-Nov-20 06:00:00.0000,-504038.6741710305,-827643.3493564185,20549.83859351306,0.0126215224178555,-0.0004000965465639895,-0.0002376542407083287
2461000.0,A.D. 2025-Nov-20 12:00:00.0000,-503766.0599039473,-827651.942015448,20544.7055031014,0.01262053844246661,-0.0003955199370800936,-0.0002376318098418154
2461000.25,A.D. 2025-Nov-20 18:00:00.0000,-503493.4669499789,-827660.4358141915,20539.57290359377,0.01261954895852923,-0.0003909428405396571,-0.000237608786532997
2461000.5,A.D. 2025-Nov-21 00:00:00.0000,-503220.8954295635,-827668.830743725,20534.44080778869,0.01261855383248632,-0.0003863654061837146,-0.0002375851708285373
2461000.75,A.D. 2025-Nov-21 06:00:00.0000,-502948.345465955,-827677.126798438,20529.30922846997,0.01261755293729844,-0.0003817877914522143,-0.0002375609640540099
2461001.0,A.D. 2025-Nov-21 12:00:00.0000,-502675.8171850757,-827685.3239762053,20524.17817837867,0.01261654615300743,-0.0003772101616245239,-0.0002375361688361908
2461001.25,A.D. 2025-Nov-21 18:00:00.0000,-502403.3107153574,-827693.4222785534,20519.04767018498,0.0126155333672777,-0.000372632689416483,-0.0002375107891197395
2461001.5,A.D. 2025-Nov-22 00:00:00.0000,-502130.8261875719,-827701.4217108152,20513.91771645949,0.012614514475911,-0.0003680555545356724,-0.0002374848301780337
2461001.75,A.D. 2025-Nov-22 06:00:00.0000,-501858.363734649,-827709.3222822773,20508.78832964448,0.01261348938333077,-0.0003634789431968723,-0.0002374582986179615
2461002.0,A.D. 2025-Nov-22 12:00:00.0000,-501585.9234914859,-827717.1240063135,20503.65952202521,0.01261245800303239,-0.0003589030475999771,-0.0002374312023785116
