JDTDB,Calendar_Date,X,Y,Z,VX,VY,VZ
2460831.75,A.D. 2025-Jun-05 06:00:00.0000,1425433542.281106,-136736210.4249605,-54376632.49748031,0.3858278722479836,9.594747530435413,-0.1820161294018603
2460832.0,A.D. 2025-Jun-05 12:00:00.0000,1425441861.593766,-136528963.4850571,-54380562.98045565,0.384478944769358,9.594784656665645,-0.1819178885635444
2460832.25,A.D. 2025-Jun-05 18:00:00.0000,1425450151.776008,-136321715.7173769,-54384491.35758365,0.3831308129088868,9.594823245382576,-0.1818206910150213
2460832.5,A.D. 2025-Jun-06 00:00:00.0000,1425458412.877307,-136114467.1449914,-54388417.62698759,0.3817873317999453,9.594858668789609,-0.1817225842730052
2460832.75,A.D. 2025-Jun-06 06:00:00.0000,1425466645.072033,-135907217.8431838,-54392341.77257068,0.3804551693161786,9.594891481833708,-0.1816244620065488
2460833.0,A.D. 2025-Jun-06 12:00:00.0000,1425474848.633176,-135699967.815251,-54396263.82199701,0.3791357374609294,9.594926573677943,-0.1815287720378587
2460833.25,A.D. 2025-Jun-06 18:00:00.0000,1425483023.809546,-135492716.9868679,-54400183.83637308,0.3778266801551609,9.594965486642522,-0.1814359408906023
2460833.5,A.D. 2025-Jun-07 00:00:00.0000,1425491170.825502,-135285465.2871333,-54404101.87174109,0.3765288436485157,9.595007223390349,-0.1813455891144873
2460833.75,A.D. 2025-Jun-07 06:00:00.0000,1425499289.958906,-135078212.6357988,-54408017.99630577,0.3752450840531486,9.595054439718101,-0.1812594730828003
2460834.0,A.D. 2025-Jun-07 12:00:00.0000,1425507381.498032,-134870958.8656823,-54411932.32591973,0.3739731095696071,9.595111128302774,-0.1811794960435056
2460834.25,A.D. 2025-Jun-07 18:00:00.0000,1425515445.660234,-134663703.7698373,-54415844.99177781,0.3727101061033153,9.595176833811058,-0.1811052470884866
2460834.5,A.D. 2025-Jun-08 00:00:00.0000,1425523482.658415,-134456447.1702254,-54419756.11177421,0.3714588262101605,9.59525066666413,-0.1810366041901461
2460834.75,A.D. 2025-Jun-08 06:00:00.0000,1425531492.793458,-134249188.839567,-54423665.83757915,0.370222714741346,9.595338692904988,-0.1809769327489672
2460835.0,A.D. 2025-Jun-08 12:00:00.0000,1425539476.351134,-134041928.3719576,-54427574.40838382,0.3689963179405942,9.595449676773818,-0.1809300764938651
2460835.25,A.D. 2025-Jun-08 18:00:00.0000,1425547433.420563,-133834665.2240517,-54431482.11348608,0.3677680920563386,9.595586695937484,-0.1808965055115848
2460835.5,A.D. 2025-Jun-09 00:00:00.0000,1425555363.847845,-133627398.8664417,-54435389.2128175,0.3665282121376618,9.595745928240415,-0.1808733913166369
2460835.75,A.D. 2025-Jun-09 06:00:00.0000,1425563267.311473,-133420128.8876986,-54439295.89047319,0.3652707224323642,9.595920585704553,-0.1808566620532774
2460836.0,A.D. 2025-Jun-09 12:00:00.0000,1425571143.409675,-133212855.0586865,-54443202.22842675,0.363995069413533,9.596100666575683,-0.1808410974150347
2460836.25,A.D. 2025-Jun-09 18:00:00.0000,1425578991.830236,-133005577.3593485,-54447108.21005911,0.3627101115515756,9.596278297945526,-0.1808235518996493
2460836.5,A.D. 2025-Jun-10 00:00:00.0000,1425586812.511672,-132798295.8377587,-54451013.80895403,0.3614282013663629,9.596456101955134,-0.1808065833048564
2460836.75,A.D. 2025-Jun-10 06:00:00.0000,1425594605.566329,-132591010.3711487,-54454919.10211738,0.360151114638158,9.596645431390014,-0.180796079944324
2460837.0,A.D. 2025-Jun-10 12:00:00.0000,1425602371.004466,-132383720.6216337,-54458824.26468027,0.3588691314972482,9.596852946504306,-0.1807944384653815
2460837.25,A.D. 2025-Jun-10 18:00:00.0000,1425610108.605138,-132176426.2107916,-54462729.46971647,0.3575724920167688,9.597076076698814,-0.1807994275515421
2460837.5,A.D. 2025-Jun-11 00:00:00.0000,1425617818.006118,-131969126.8621655,-54466634.82538344,0.3562577713768226,9.597309424799613,-0.1808079871957662
2460837.75,A.D. 2025-Jun-11 06:00:00.0000,1425625498.796749,-131761822.4014651,-54470540.38295587,0.35492309537252,9.59754853267566,-0.1808176431225732
2460838.0,A.D. 2025-Jun-11 12:00:00.0000,1425633150.540092,-131554512.7695273,-54474446.1324672,0.3535686387140808,9.597787081483387,-0.1808252162929729
2460838.25,A.D. 2025-Jun-11 18:00:00.0000,1425640772.859238,-131347198.0463971,-54478351.99950285,0.3522000338664606,9.598019399282288,-0.1808283807772955
2460838.5,A.D. 2025-Jun-12 00:00:00.0000,1425648365.536178,-131139878.3725133,-54482257.89340608,0.3508248613019287,9.598246124427876,-0.180828083976075
