JDTDB,Calendar_Date,X,Y,Z,VX,VY,VZ
2460975.5,A.D. 2025-Oct-27 00:00:00.0000,-193266782.161912,-64133025.88942054,14405422.41847838,-17.4448923153355,65.94585733772416,-3.53702754470287
2460975.75,A.D. 2025-Oct-27 06:00:00.0000,-193642881.8411063,-62708363.99061042,14328969.77646042,-17.37911661925674,65.96720504826857,-3.541917490090587
2460976.0,A.D. 2025-Oct-27 12:00:00.0000,-194017558.5012696,-61283245.94658571,14252411.72818289,-17.31313278872008,65.98809231337482,-3.546787258412323
2460976.25,A.D. 2025-Oct-27 18:00:00.0000,-194390807.7439454,-59857681.74718136,14175748.71755573,-17.24694984585054,66.00851506949863,-3.551636102145995
2460976.5,A.D. 2025-Oct-28 00:00:00.0000,-194762625.3666804,-58431681.46802896,14098981.20456091,-17.18057691595163,66.02846943663008,-3.556463280752027
2460976.75,A.D. 2025-Oct-28 06:00:00.0000,-195133007.3651875,-57005255.26655578,14022109.66509578,-17.11402322142875,66.0479517216482,-3.561268061218648
2460977.0,A.D. 2025-Oct-28 12:00:00.0000,-195501949.9353763,-55578413.3779135,13945134.59080455,-17.04729807558101,66.06695842146974,-3.566049718600151
2460977.25,A.D. 2025-Oct-28 18:00:00.0000,-195869449.4752489,-54151166.11084144,13868056.48889837,-16.98041087626958,66.08548622598815,-3.570807536547335
2460977.5,A.D. 2025-Oct-29 00:00:00.0000,-196235502.5866561,-52723523.84346832,13790875.88196401,-16.91337109947417,66.10353202079511,-3.57554080782926
2460977.75,A.D. 2025-Oct-29 06:00:00.0000,-196600106.0769151,-51295497.01905784,13713593.30776129,-16.84618829274688,66.12109288968085,-3.580248834845367
2460978.0,A.D. 2025-Oct-29 12:00:00.0000,-196963256.9602832,-49867096.14170265,13636209.31900972,-16.7788720685739,66.13816611690831,-3.584930930127197
2460978.25,A.D. 2025-Oct-29 18:00:00.0000,-197324952.4592885,-48438331.77197158,13558724.48316424,-16.71143209765596,66.15474918925736,-3.589586416828713
2460978.5,A.D. 2025-Oct-30 00:00:00.0000,-197685190.0059139,-47009214.52251531,13481139.38218064,-16.64387810211811,66.17083979783547,-3.594214629204689
2460978.75,A.D. 2025-Oct-30 06:00:00.0000,-198043967.242634,-45579755.0536355,13403454.61227071,-16.57621984866004,66.1864358396517,-3.598814913076087
2460979.0,A.D. 2025-Oct-30 12:00:00.0000,-198401282.0233032,-44149964.06882247,13325670.78364753,-16.50846714165797,66.20153541895164,-3.603386626281917
2460979.25,A.D. 2025-Oct-30 18:00:00.0000,-198757132.4138952,-42719852.31026656,13247788.52026109,-16.44062981622925,66.2161368483116,-3.607929139116699
2460979.5,A.D. 2025-Oct-31 00:00:00.0000,-199111516.6930916,-41289430.55434866,13169808.45952471,-16.37271773127106,66.23023864949019,-3.612441834752929
2460979.75,A.D. 2025-Oct-31 06:00:00.0000,-199464433.3527202,-39858709.60711478,13091731.25203239,-16.3047407624845,66.24383955403678,-3.616924109647854
2460980.0,A.D. 2025-Oct-31 12:00:00.0000,-199815881.0980425,-38427700.29974023,13013557.56126767,-16.23670879539522,66.2569385036565,-3.621375373934029
2460980.25,A.D. 2025-Oct-31 18:00:00.0000,-200165858.8478908,-36996413.48398848,12935288.06330417,-16.16863171838217,66.2695346503318,-3.625795051792895
2460980.5,A.D. 2025-Nov-01 00:00:00.0000,-200514365.7346546,-35564860.02767005,12856923.44649821,-16.1005194157254,66.28162735620153,-3.630182581811116
2460980.75,A.D. 2025-Nov-01 06:00:00.0000,-200861401.1041173,-34133050.81010666,12778464.41117402,-16.03238176068427,66.29321619319852,-3.634537417318843
2460981.0,A.D. 2025-Nov-01 12:00:00.0000,-201206964.5151435,-32700996.71760567,12699911.66930177,-15.96422860861689,66.3043009424479,-3.638859026709831
2460981.25,A.D. 2025-Nov-01 18:00:00.0000,-201551055.739219,-31268708.6389502,12621265.94416889,-15.89606979015192,66.3148815934279,-3.643146893742639
2460981.5,A.D. 2025-Nov-02 00:00:00.0000,-201893674.759843,-29836197.46090991,12542527.97004517,-15.82791510442329,66.32495834289651,-3.647400517822806
2460981.75,A.D. 2025-Nov-02 06:00:00.0000,-202234821.7717754,-28403474.06377736,12463698.49184182,-15.75977431237852,66.33453159358658,-3.651619414265493
2460982.0,A.D. 2025-Nov-02 12:00:00.0000,-202574497.1801409,-26970549.31693516,12384778.26476525,-15.69165713017067,66.34360195267415,-3.655803114538507
2460982.25,A.D. 2025-Nov-02 18:00:00.0000,-202912701.5993904,-25537434.07445853,12305768.05396568,-15.62357322264436,66.35217023002326,-3.659951166485236
2460982.5,A.D. 2025-Nov-03 00:00:00.0000,-203249435.8521235,-24104139.17075816,12226668.63418122,-15.55553219692549,66.3602374362126,-3.664063134527495
2460982.75,A.D. 2025-Nov-03 06:00:00.0000,-203584700.9677738,-22670675.41626801,12147480.78937775,-15.487543596124,66.36780478034898,-3.668138599848092
2460983.0,A.D. 2025-Nov-03 12:00:00.0000,-203918498.1811588,-21237053.59318258,12068205.31238512,-15.41961689315907,66.37487366767327,-3.672177160552934
2460983.25,A.D. 2025-Nov-03 18:00:00.0000,-204250828.9308986,-19803284.45124814,11988843.00453,-15.35176148471586,66.38144569696502,-3.676178431812694
2460983.5,A.D. 2025-Nov-04 00:00:00.0000,-204581694.8577049,-18369378.70361201,11909394.67526599,-15.28398668534098,66.38752265775176,-3.680142045984077
2460983.75,A.D. 2025-Nov-04 06:00:00.0000,-204911097.802545,-16935347.02273428,11829861.14180126,-15.21630172168652,66.39310652733022,-3.684067652710578
2460984.0,A.D. 2025-Nov-04 12:00:00.0000,-205239039.8046815,-15501200.03636582,11750243.2287242,-15.14871572690889,66.39819946760672,-3.687954919002983
2460984.25,A.D. 2025-Nov-04 18:00:00.0000,-205565523.0995947,-14066948.3235964,11670541.76762769,-15.08123773523017,66.40280382176371,-3.691803529299609
2460984.5,A.D. 2025-Nov-05 00:00:00.0000,-205890550.1167881,-12632602.41097657,11590757.59673211,-15.01387667666861,66.4069221107607,-3.695613185506538
2460984.75,A.D. 2025-Nov-05 06:00:00.0000,-206214123.4774819,-11198172.76871699,11510891.56050781,-14.94664137194383,66.41055702967793,-3.699383607018046
2460985.0,A.D. 2025-Nov-05 12:00:00.0000,-206536245.9921991,-9763669.806968156,11430944.50929737,-14.87954052756423,66.41371144390969,-3.703114530717428
2460985.25,A.D. 2025-Nov-05 18:00:00.0000,-206856920.6582472,-8329103.872184088,11350917.2989379,-14.81258273109964,66.41638838521794,-3.706805710958609
2460985.5,A.D. 2025-Nov-06 00:00:00.0000,-207176150.6570997,-6894485.24357257,11270810.79038415,-14.74577644664442,66.41859104765304,-3.710456919528838
2460985.75,A.D. 2025-Nov-06 06:00:00.0000,-207493939.3516816,-5459824.129634891,11190625.84933246,-14.67913001047704,66.42032278335142,-3.714067945592781
2460986.0,A.D. 2025-Nov-06 12:00:00.0000,-207810290.2835637,-4025130.66479762,11110363.34584615,-14.61265162691728,66.4215870982189,-3.717638595618482
2460986.25,A.D. 2025-Nov-06 18:00:00.0000,-208125207.1700694,-2590414.906138765,11030024.15398282,-14.54634936438422,66.42238764750775,-3.721168693285705
2460986.5,A.D. 2025-Nov-07 00:00:00.0000,-208438693.9012981,-1155686.830210525,10949609.15142364,-14.48023115166135,66.42272823129883,-3.724658079376873
